num,keyword,pattern,persona,sec,slides,file
01,ライバー始め方,質問回答1,,39,7,01_ライバー始め方_質問回答1.md
01,ライバー始め方,質問回答2,,38,7,01_ライバー始め方_質問回答2.md
01,ライバー始め方,数字インパクト,,36,8,01_ライバー始め方_数字インパクト.md
01,ライバー始め方,ポイント紹介,,38,10,01_ライバー始め方_ポイント紹介.md
01,ライバー始め方,比較してみた,,47,9,01_ライバー始め方_比較してみた.md
01,ライバー始め方,TOP3,,28,9,01_ライバー始め方_TOP3.md
01,ライバー始め方,よくある誤解,,36,6,01_ライバー始め方_よくある誤解.md
01,ライバー始め方,対話解説,,37,8,01_ライバー始め方_対話解説.md
02,Pococha稼げる,質問回答1,,29,5,02_Pococha稼げる_質問回答1.md
02,Pococha稼げる,質問回答2,,30,5,02_Pococha稼げる_質問回答2.md
02,Pococha稼げる,数字インパクト,,30,8,02_Pococha稼げる_数字インパクト.md
02,Pococha稼げる,比較してみた,,28,9,02_Pococha稼げる_比較してみた.md
02,Pococha稼げる,TOP3,,31,9,02_Pococha稼げる_TOP3.md
02,Pococha稼げる,よくある誤解,,30,6,02_Pococha稼げる_よくある誤解.md
02,Pococha稼げる,対話解説,,34,8,02_Pococha稼げる_対話解説.md
03,事務所選び方,質問回答1,,30,7,03_事務所選び方_質問回答1.md
03,事務所選び方,質問回答2,,30,7,03_事務所選び方_質問回答2.md
03,事務所選び方,数字インパクト,,32,8,03_事務所選び方_数字インパクト.md
03,事務所選び方,比較してみた,,24,6,03_事務所選び方_比較してみた.md
03,事務所選び方,TOP3,,32,9,03_事務所選び方_TOP3.md
03,事務所選び方,よくある誤解,,28,6,03_事務所選び方_よくある誤解.md
03,事務所選び方,対話解説,,36,8,03_事務所選び方_対話解説.md
04,配信初心者コツ,質問回答1,,31,5,04_配信初心者コツ_質問回答1.md
04,配信初心者コツ,質問回答2,,31,5,04_配信初心者コツ_質問回答2.md
04,配信初心者コツ,数字インパクト,,30,8,04_配信初心者コツ_数字インパクト.md
04,配信初心者コツ,ポイント紹介,,34,10,04_配信初心者コツ_ポイント紹介.md
04,配信初心者コツ,TOP3,,30,9,04_配信初心者コツ_TOP3.md
04,配信初心者コツ,よくある誤解,,30,6,04_配信初心者コツ_よくある誤解.md
